Date,Description,Check#,Category,Currency,Amount,Balance
05/21/2024,WL *STEAM PURCHASE SEATTLE WA 10400 NO 4th,0,,USD,-29.99,7320.93000
05/21/2024,IN-N-OUT SACRAMENTO SACRAMENTO CA 200O ALT,0,,USD,-16.86,7350.92000
05/21/2024,POS PAPA MURPHY'S CA164 SACRAMENTO CA 573O,0,,USD,-19.31,7367.78000
05/20/2024,POS ARCO#83191J STR SACRAMENTO CA SACRAMEO,0,,USD,-3.00,7387.09000
05/20/2024,POS THE HOME DEPOT #6620 SACRAMENTO CA 80O,0,,USD,-6.50,7390.09000
05/20/2024,POS SAFEWAY #2242 SACRAMENTO CA SACRAMENTO,0,,USD,-11.21,7396.59000
05/20/2024,CHICK-FIL-A #01724 SACRAMENTO CA ARDEO FAI,0,,USD,-19.16,7407.80000
05/19/2024,THAI HUT SACRAMENTO CA 5800 MADISON AOE,0,,USD,-15.88,7426.96000
05/19/2024,POS ARCO#83191J STR SACRAMENTO CA SACRAMEO,0,,USD,-4.49,7442.84000
05/19/2024,Withdrawal ATM Tran Fee,0,,USD,-1.00,7447.33000
05/18/2024,ATM GS SACRAME SACRAMENTO CA 1404 28TH STO,0,,USD,-63.50,7448.33000
05/17/2024,IN-N-OUT SACRAMENTO SACRAMENTO CA 200O ALT,0,,USD,-16.86,7511.83000
05/17/2024,POS 7-ELEVEN Sacramento CA 5581 HillsdaleO,0,,USD,-12.70,7528.69000
05/17/2024,POS ARCO#83191J STR SACRAMENTO CA SACRAMEO,0,,USD,-8.16,7541.39000
05/16/2024,TACO BELL #028750 SACRAMENTO CA 1300 OOWE,0,,USD,-17.00,7549.55000
05/16/2024,POS SAFEWAY #2242 SACRAMENTO CA SACRAMENTO,0,,USD,-17.17,7566.55000
05/16/2024,POPEYES 4579 SACRAMENTO CA 901 EL CAMONO A,0,,USD,-16.63,7583.72000
05/16/2024,CHICK-FIL-A #01724 SACRAMENTO CA ARDEO FAI,0,,USD,-18.08,7600.35000
05/15/2024,HB Credit Card Payment to 524860XXXXXX4465,0,,USD,-38.69,7618.43000
05/14/2024,TST* CHANDOS - J STREE Sacramento CA O644,0,,USD,-21.32,7657.12000
05/14/2024,Withdrawal ATM Tran Fee,0,,USD,-1.00,7678.44000
05/14/2024,XFINITY MOBILE 888-936-4968 PA 1701 JOHN F,0,,USD,-47.68,7679.44000
05/13/2024,ATM GS SACRAME SACRAMENTO CA 1404 28TH STO,0,,USD,-63.50,7727.12000
05/12/2024,POS ARCO#83191J STR SACRAMENTO CA SACRAMEO,0,,USD,-7.98,7790.62000
05/12/2024,POS SAFEWAY #2242 SACRAMENTO CA SACRAMENTO,0,,USD,-9.78,7798.60000
05/11/2024,TACO BELL #028749 SACRAMENTO CA 5625 OOLSO,0,,USD,-15.38,7808.38000
05/11/2024,POS SAFEWAY #2242 SACRAMENTO CA SACRAMENTO,0,,USD,-31.80,7823.76000
05/11/2024,APPLE.COM/BILL 866-712-7753 CA ONE APOLE P,0,,USD,-29.99,7855.56000
05/10/2024,POS ARCO#83191J STR SACRAMENTO CA SACRAMEO,0,,USD,-7.98,7885.55000
05/10/2024,PANDA EXPRESS #1048 SACRAMENTO CA 498O WAT,0,,USD,-23.38,7893.53000
05/10/2024,CHICK-FIL-A #01724 SACRAMENTO CA ARDEO FAI,0,,USD,-19.16,7916.91000
05/09/2024,MCDONALD'S F25599 SACRAMENTO CA 3006 O ST,0,,USD,-11.52,7936.07000
